region,variety,method,score
huila,Caturra,Natural / Dry,82.33
brazil matas de minas,Catuai,Washed / Wet,82.25
nuevo oriente,Pacas,Washed / Wet,82.25
south of minas,Yellow Bourbon,Natural / Dry,82.25
apaneca,Bourbon,Washed / Wet,82.25
marcala,Catuai,Washed / Wet,82.25
mzuzu,Gesha,Washed / Wet,82.25
south of minas,Bourbon,Natural / Dry,82.25
nantou,Typica,Washed / Wet,82.25
veracruz,Mundo Novo,Washed / Wet,82.25
kona,Hawaiian Kona,Natural / Dry,82.25
"calnali, hidalgo",Bourbon,Washed / Wet,82.25
antigua,Bourbon,Washed / Wet,82.25
veracruz,Bourbon,Washed / Wet,82.25
juquila,Typica,Washed / Wet,82.25
veracruz,Typica,Washed / Wet,82.25
canoas,Typica,Washed / Wet,82.25
huila,Caturra,Washed / Wet,82.25
huila,Caturra,Washed / Wet,82.25
south of minas,Bourbon,Natural / Dry,82.17
comayagua,Caturra,Washed / Wet,82.17
ruvuma,Bourbon,Washed / Wet,82.17
northern,Other,Washed / Wet,82.17
south of minas,Yellow Bourbon,Natural / Dry,82.17
marcala,Catuai,Washed / Wet,82.17
atitlan,Bourbon,Washed / Wet,82.17
cerrado,Mundo Novo,Natural / Dry,82.17
"ilomba vilage, mbozi",Other,Washed / Wet,82.17
veracruz,Other,Washed / Wet,82.17
"la concordia, chiapas",Other,Washed / Wet,82.17
yunlin é›²æž—ç¸£çŸ³å£,Typica,Other,82.17
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,82.17
huila,Caturra,Washed / Wet,82.17
san bartolo tutotepec,Typica,Washed / Wet,82.17
oriente,Caturra,Washed / Wet,82.17
altotonga,Typica,Washed / Wet,82.17
colima,Typica,Washed / Wet,82.17
aceh gayo,Bourbon,Washed / Wet,82.08
huila,Caturra,Washed / Wet,82.08
south of minas,Bourbon,Natural / Dry,82.08
south of minas,Yellow Bourbon,Natural / Dry,82.08
tres rios,Caturra,Washed / Wet,82.08
kilimanjaro,Bourbon,Washed / Wet,82.08
ngorogoro,Other,Washed / Wet,82.08
turrialba,Caturra,Washed / Wet,82.08
kona,Hawaiian Kona,Natural / Dry,82.08
coatepec,Typica,Washed / Wet,82.08
tapachula,Typica,Washed / Wet,82.08
coatepec,Typica,Washed / Wet,82.08
don duong,Other,Natural / Dry,82.08
veracruz,Typica,Washed / Wet,82.08
kona,Hawaiian Kona,Washed / Wet,82.08
el paraÃ­so,Caturra,Washed / Wet,82
guinope el paraÃ­so,Caturra,Natural / Dry,82
south of minas,Bourbon,Natural / Dry,82
kilimanjaro,Other,Washed / Wet,82
lao p.d.r.,Other,Washed / Wet,82
meru,Other,Washed / Wet,82
mzuzu,Gesha,Washed / Wet,82
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,82
central valley,Catuai,Washed / Wet,82
occidental,Caturra,Washed / Wet,82
huila,Caturra,Washed / Wet,82
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,82
"minas gerais, br",Mundo Novo,Natural / Dry,82
coscomatepec,Typica,Washed / Wet,82
south of minas,Mundo Novo,Natural / Dry,82
cerrado,Catuai,Semi-washed / Semi-pulped,82
san marcos,Bourbon,Natural / Dry,82
south of minas,Mundo Novo,Semi-washed / Semi-pulped,82
oriente,Bourbon,Washed / Wet,82
oriente,Bourbon,Washed / Wet,81.92
santa rosa,Bourbon,Washed / Wet,81.92
comayagua,Caturra,Washed / Wet,81.92
monte carmelo,Catuai,Natural / Dry,81.92
"el balsamo, quezaltepec",Bourbon,Washed / Wet,81.92
nuevo oriente,Catuai,Washed / Wet,81.92
mbeya,Other,Washed / Wet,81.92
mubuyu estate,SL28,Washed / Wet,81.92
taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,Typica,Other,81.92
chiapas,Bourbon,Washed / Wet,81.92
"chapulhuacan, hidalgo",Typica,Semi-washed / Semi-pulped,81.92
"huazalingo, hidalgo",Mundo Novo,Washed / Wet,81.92
veracruz,Other,Washed / Wet,81.92
fortÃ­n de las flores,Bourbon,Washed / Wet,81.92
grama valley,Mundo Novo,Natural / Dry,81.92
oriente,Bourbon,Washed / Wet,81.83
tarrazu,Catuai,Pulped natural / honey,81.83
monte carmelo,Mundo Novo,Natural / Dry,81.83
bali,Other,Other,81.83
norte,Bourbon,Washed / Wet,81.83
south of minas,Yellow Bourbon,Natural / Dry,81.83
south of minas,Yellow Bourbon,Natural / Dry,81.83
ywar ngan,Catuai,Washed / Wet,81.83
chiapas,Catuai,Washed / Wet,81.83
marcala,Catuai,Washed / Wet,81.83
tres rios,Caturra,Washed / Wet,81.83
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,81.83
lington nihuta,Typica,Other,81.83
kakoma,Gesha,Washed / Wet,81.83
south of minas,Bourbon,Natural / Dry,81.83
comayagua,Caturra,Natural / Dry,81.83
"siltepec el triunfo, chiapas, mexico",Typica,Washed / Wet,81.83
huila,Caturra,Washed / Wet,81.83
kona,Hawaiian Kona,Natural / Dry,81.83
sul de minas,Bourbon,Semi-washed / Semi-pulped,81.83
oriente,Bourbon,Washed / Wet,81.83
veracruz,Bourbon,Washed / Wet,81.83
coatepec,Typica,Semi-washed / Semi-pulped,81.83
san marcos,Bourbon,Washed / Wet,81.75
vietnam,Caturra,Washed / Wet,81.75
ngorogoro,Other,Washed / Wet,81.75
"tenango de doria, hidalgo",Bourbon,Washed / Wet,81.75
tepictla,Mundo Novo,Washed / Wet,81.75
oaxaca,Typica,Washed / Wet,81.75
la concordia,Caturra,Washed / Wet,81.75
la concordia,Typica,Washed / Wet,81.75
huila,Caturra,Washed / Wet,81.75
south of minas,Bourbon,Natural / Dry,81.67
san marcos,Bourbon,Washed / Wet,81.67
santa rosa,Bourbon,Washed / Wet,81.67
marcala,Catuai,Washed / Wet,81.67
south of minas,Yellow Bourbon,Natural / Dry,81.67
mbinga,Other,Washed / Wet,81.67
"ilomba vilage, mbozi",Other,Washed / Wet,81.67
south of minas,Bourbon,Washed / Wet,81.67
bener meriah,Sumatra,Semi-washed / Semi-pulped,81.67
comayagua,Caturra,Natural / Dry,81.67
tarrazu,Caturra,Washed / Wet,81.67
changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,Typica,Semi-washed / Semi-pulped,81.67
nantou,Typica,Washed / Wet,81.67
"la concordia, chiapas",Typica,Washed / Wet,81.67
jalapa,Bourbon,Washed / Wet,81.67
tuxtla gutierrez,Typica,Washed / Wet,81.67
yajalon,Bourbon,Washed / Wet,81.67
veracruz,Bourbon,Washed / Wet,81.67
"la concordia, chiapas",Bourbon,Washed / Wet,81.67
"sacÃºn palma, municipio de chilÃ³n, chiapas",Caturra,Semi-washed / Semi-pulped,81.67
kona,Hawaiian Kona,Washed / Wet,81.67
western region,Catimor,Washed / Wet,81.58
huehuetenango,Bourbon,Washed / Wet,81.58
natou county,Typica,Washed / Wet,81.58
turrialba,Caturra,Washed / Wet,81.58
"oldeani , mongola",Other,Washed / Wet,81.58
mzuzu,Gesha,Washed / Wet,81.58
natou county,Typica,Semi-washed / Semi-pulped,81.58
south of minas,Yellow Bourbon,Washed / Wet,81.58
oriente,Bourbon,Washed / Wet,81.58
"la concordia, chiapas",Typica,Washed / Wet,81.58
la concordia,Marigojipe,Natural / Dry,81.58
la concordia,Typica,Natural / Dry,81.58
santa rosa,Bourbon,Washed / Wet,81.5
jalapa,Caturra,Other,81.5
comayagua,Caturra,Washed / Wet,81.5
å¤å‘é„‰è·åŒ…æ‘å°–å±±å‘60è™Ÿ,Typica,Natural / Dry,81.5
ywar ngan township,Catuai,Washed / Wet,81.5
occidental,Caturra,Washed / Wet,81.5
mzuzu,Gesha,Washed / Wet,81.5
oriente,Other,Washed / Wet,81.5
natou county,Typica,Washed / Wet,81.5
sul de minas,Yellow Bourbon,Semi-washed / Semi-pulped,81.5
"dondon, haiti",Blue Mountain,Washed / Wet,81.5
taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,Typica,Other,81.5
"la concordia, chiapas",Typica,Washed / Wet,81.5
amatenango de la frontera,Typica,Washed / Wet,81.5
temaxcalapa,Catuai,Washed / Wet,81.5
manzanillo,Typica,Semi-washed / Semi-pulped,81.5
tapachula,Bourbon,Washed / Wet,81.5
atoyac de alvarez,Typica,Natural / Dry,81.5
ijen,Other,Washed / Wet,81.5
sul de minas,Bourbon,Semi-washed / Semi-pulped,81.5
oriente,Bourbon,Washed / Wet,81.5
veracruz,Mundo Novo,Washed / Wet,81.42
san marcos,Catuai,Washed / Wet,81.42
cerrado,Catuai,Natural / Dry,81.42
marcala,Catuai,Washed / Wet,81.42
è‹—æ —ä¸‰ç£,Typica,Washed / Wet,81.42
mzuzu,Gesha,Washed / Wet,81.42
south of minas,Bourbon,Natural / Dry,81.42
"san lucas toliman, solola",Bourbon,Washed / Wet,81.42
siltepec el triunfo,Typica,Washed / Wet,81.42
oriente,Bourbon,Washed / Wet,81.42
"huazalingo, hidalgo",Caturra,Washed / Wet,81.42
"coatepec, coatepec",Typica,Washed / Wet,81.42
huila,Caturra,Natural / Dry,81.42
huila,Caturra,Washed / Wet,81.33
comayagua,Caturra,Washed / Wet,81.33
cerrado,Catuai,Natural / Dry,81.33
marcala,Catuai,Washed / Wet,81.33
mantiqueira de minas,Yellow Bourbon,Other,81.33
"davao city, region 11",Other,Washed / Wet,81.33
mzuzu,Gesha,Washed / Wet,81.33
san marcos,Catuai,Washed / Wet,81.33
tapachula,Typica,Washed / Wet,81.33
veracruz,Typica,Washed / Wet,81.33
matas de minas,Catuai,Natural / Dry,81.33
"dongshan dist., tainan city å°å—å¸‚æ±å±±å€",Typica,Natural / Dry,81.25
south of minas,Yellow Bourbon,Natural / Dry,81.25
jinotega,Catuai,Washed / Wet,81.25
marcala,Catuai,Washed / Wet,81.25
huehuetenango,Pacamara,Washed / Wet,81.25
karatu ngorogoro,Other,Washed / Wet,81.25
nantou,Typica,Semi-washed / Semi-pulped,81.25
"sacatepequez, guatemala",Caturra,Washed / Wet,81.25
motozintla,Typica,Washed / Wet,81.25
"ruvuma, mbinga",Bourbon,Washed / Wet,81.17
"chiapas, jaltenango",Caturra,Washed / Wet,81.17
tres rios,Caturra,Washed / Wet,81.17
central region,Catuai,Natural / Dry,81.17
chiangrai,Caturra,Washed / Wet,81.17
corillera administrative,Typica,Natural / Dry,81.17
mbinga,Bourbon,Washed / Wet,81.17
southern- zomba,Caturra,Washed / Wet,81.17
central valley,Catuai,Washed / Wet,81.17
monte carmelo,Catuai,Natural / Dry,81.17
tapachula,Typica,Natural / Dry,81.17
oriente,Caturra,Washed / Wet,81.17
south of minas,Mundo Novo,Natural / Dry,81.17
alta paulista (sao paulo),Mundo Novo,Natural / Dry,81.08
jinotega,Other,Washed / Wet,81.08
central america,Pache Comun,Natural / Dry,81.08
"iwala village, mbeya rural",Other,Washed / Wet,81.08
naranjo,Caturra,Washed / Wet,81.08
yauco region,Other,Washed / Wet,81.08
san fernando,Typica,Washed / Wet,81.08
santo reyes nopala,Typica,Washed / Wet,81.08
santa maria sitepec,Typica,Washed / Wet,81.08
talpa de allende,Typica,Washed / Wet,81.08
grama valley,Bourbon,Pulped natural / honey,81
apaneca,Bourbon,Washed / Wet,81
grama valley,Yellow Bourbon,Pulped natural / honey,81
norte,Bourbon,Washed / Wet,81
guayata,Caturra,Washed / Wet,81
oriente,Bourbon,Washed / Wet,81
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,81
san marcos,Caturra,Natural / Dry,81
cerrado,Mundo Novo,Natural / Dry,81
arusha,Other,Washed / Wet,81
eastern,SL14,Natural / Dry,81
nantou,Typica,Semi-washed / Semi-pulped,81
"motozintla, chiapas",Other,Washed / Wet,81
adolfo lopez mateos,Typica,Washed / Wet,81
taiwan,Other,Washed / Wet,80.92
oriente,Bourbon,Washed / Wet,80.92
kiambu,SL28,Washed / Wet,80.92
veracruz,Bourbon,Washed / Wet,80.92
pyinoolwin,Other,Other,80.92
kona,Hawaiian Kona,Natural / Dry,80.92
"manyara, karatu",Other,Washed / Wet,80.92
mantiqueira de minas,Yellow Bourbon,Natural / Dry,80.92
å°ä¸­æ–°ç¤¾,Typica,Washed / Wet,80.92
south of minas,Bourbon,Natural / Dry,80.92
matagalpa,Caturra,Washed / Wet,80.92
jalapa,Pacas,Washed / Wet,80.92
taichung taiping å°ä¸­å¸‚å¤ªå¹³å€,Typica,Washed / Wet,80.92
nantou,Typica,Other,80.92
new taipei zhonghe æ–°åŒ—å¸‚ä¸­å’Œå€,Typica,Washed / Wet,80.92
ixhuatlan del cafe,Typica,Washed / Wet,80.92
"paksong,laos",Catimor,Washed / Wet,80.83
orient,Caturra,Washed / Wet,80.83
motozintla,Catuai,Semi-washed / Semi-pulped,80.83
oaxaca,Typica,Washed / Wet,80.83
veracruz,Bourbon,Washed / Wet,80.83
kona,Hawaiian Kona,Washed / Wet,80.83
ywar ngan,Catuai,Washed / Wet,80.75
huehuetenango,Caturra,Washed / Wet,80.75
jinotega,Other,Washed / Wet,80.75
"siguatepeque, comayagua",Caturra,Natural / Dry,80.75
boquete,Caturra,Other,80.75
marcala,Catuai,Washed / Wet,80.75
central region,Catuai,Natural / Dry,80.75
san ramon,Caturra,Washed / Wet,80.75
oaxaca,Typica,Washed / Wet,80.75
haiti,Typica,Washed / Wet,80.75
kona,Arusha,Natural / Dry,80.75
taiwan,Typica,Other,80.67
sumatra brastagi,Mandheling,Semi-washed / Semi-pulped,80.67
antigua,Bourbon,Washed / Wet,80.67
tarrazu,Caturra,Washed / Wet,80.67
southern- zomba,Caturra,Washed / Wet,80.67
"el desmoronado, talpan de allende jalisco",Typica,Washed / Wet,80.67
santander,Caturra,Natural / Dry,80.67
"san lucas toliman, solola",Bourbon,Washed / Wet,80.67
oriente,Bourbon,Washed / Wet,80.67
oriente,Bourbon,Washed / Wet,80.67
arusha,Other,Washed / Wet,80.58
south of minas,Bourbon,Semi-washed / Semi-pulped,80.58
occidental,Caturra,Washed / Wet,80.58
huehuetenango,Bourbon,Natural / Dry,80.58
taiwan,Other,Natural / Dry,80.5
santa rosa,Caturra,Washed / Wet,80.5
ocotepeque,Catuai,Washed / Wet,80.5
vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,80.5
pyin oo lwin,Other,Washed / Wet,80.5
oriente,Other,Washed / Wet,80.5
mantiqueira de minas,Yellow Bourbon,Semi-washed / Semi-pulped,80.5
kona,Hawaiian Kona,Natural / Dry,80.5
huehuetenango,Bourbon,Washed / Wet,80.5
zaragoza itundujia,Typica,Washed / Wet,80.5
å—æŠ•åœ‹å§“,Typica,Washed / Wet,80.42
"department of ahuachapan, municipality of apanecallamatepec mountain",Bourbon,Washed / Wet,80.42
yunnan,Other,Washed / Wet,80.42
nantou,Typica,Washed / Wet,80.42
pochutla,Typica,Washed / Wet,80.42
la concordia,Caturra,Washed / Wet,80.42
mkuu rombo,Bourbon,Washed / Wet,80.33
arusha,Other,Washed / Wet,80.33
taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,Yellow Bourbon,Other,80.33
oriente,Bourbon,Washed / Wet,80.33
chilÃ³n,Typica,Semi-washed / Semi-pulped,80.33
kona,Hawaiian Kona,Washed / Wet,80.33
cerrado - monte carmelo - minas gerais,Catuai,Natural / Dry,80.25
comayagua,Caturra,Natural / Dry,80.25
sierra madre occidental,Caturra,Washed / Wet,80.25
"yauk sauk, shan state",Other,Natural / Dry,80.25
ywar ngan,Catuai,Natural / Dry,80.25
matagalpa,Caturra,Washed / Wet,80.25
kona,Hawaiian Kona,Natural / Dry,80.25
chiayi fanluå˜‰ç¾©ç¸£ç•ªè·¯é„‰,Typica,Semi-washed / Semi-pulped,80.25
oriente,Caturra,Washed / Wet,80.25
"calnali, hidalgo",Caturra,Washed / Wet,80.25
dala,Catimor,Other,80.17
jinotega,Caturra,Washed / Wet,80.17
marcala,Catuai,Washed / Wet,80.17
oriente,Bourbon,Washed / Wet,80.17
coatepec,Typica,Washed / Wet,80.17
zaragoza itundujia,Typica,Washed / Wet,80.17
veracruz,Bourbon,Washed / Wet,80.17
oriente,Bourbon,Washed / Wet,80.17
mantiqueira de minas,Bourbon,Pulped natural / honey,80.08
è‹—æ —æ³°å®‰,Typica,Washed / Wet,80.08
yunlin gukeng he bao é›²æž—ç¸£å¤å‘é„‰è·è‹žæ‘,Typica,Other,80.08
changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,Typica,Washed / Wet,80.08
changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,Typica,Semi-washed / Semi-pulped,80.08
zaragoza itundujia,Typica,Washed / Wet,80.08
escuitla,Typica,Washed / Wet,80.08
jinotega,Caturra,Washed / Wet,80
"doe kwin, pyin oo lwin",Other,Washed / Wet,80
"sierra fraylesca, chiapas",Typica,Washed / Wet,80
changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,Typica,Washed / Wet,80
coatepec,Typica,Washed / Wet,80
san miguel del puerto,Other,Washed / Wet,80
kona,Hawaiian Kona,Natural / Dry,79.92
chiapas,Bourbon,Washed / Wet,79.92
"motozintla, chiapas",Other,Washed / Wet,79.92
veracruz,Bourbon,Washed / Wet,79.92
jaltenango,Catuai,Washed / Wet,79.92
coatepec,Typica,Natural / Dry,79.92
veracruz,Mundo Novo,Washed / Wet,79.92
kiambu,SL34,Washed / Wet,79.83
san marcos,Bourbon,Washed / Wet,79.83
jinotega,Caturra,Washed / Wet,79.83
veracruz,Typica,Washed / Wet,79.83
kona,Hawaiian Kona,Natural / Dry,79.83
oriente,Bourbon,Washed / Wet,79.75
"taiwu township , pingtung county å±æ±ç¸£æ³°æ­¦é„‰",Typica,Natural / Dry,79.75
"baihe dist., tainan city è‡ºå—å¸‚ç™½æ²³å€",Typica,Washed / Wet,79.75
brunca,Catuai,Washed / Wet,79.75
"la concordia, chiapas",Typica,Washed / Wet,79.75
chiapas,Bourbon,Washed / Wet,79.75
chiapas,Bourbon,Washed / Wet,79.75
zaragoza itundujia,Bourbon,Washed / Wet,79.75
pochutla,Typica,Washed / Wet,79.75
antigua,Bourbon,Washed / Wet,79.75
tuxtla gutierrez,Typica,Washed / Wet,79.75
oriente,Bourbon,Washed / Wet,79.67
cacahuatique,Bourbon,Washed / Wet,79.67
oriente,Bourbon,Washed / Wet,79.67
"la concordia, chiapas",Typica,Washed / Wet,79.67
"tenango de doria, hidalgo",Caturra,Washed / Wet,79.67
"coatepec, coatepec",Mundo Novo,Washed / Wet,79.67
tepetzingo,Typica,Washed / Wet,79.58
la concordia,Caturra,Washed / Wet,79.58
jinotega,Caturra,Natural / Dry,79.5
nantou,Typica,Natural / Dry,79.5
cundinamarca,Caturra,Washed / Wet,79.5
la concordia,Caturra,Washed / Wet,79.5
"coatepec, coatepec",Typica,Washed / Wet,79.5
oriente,Bourbon,Washed / Wet,79.42
oriente,Other,Washed / Wet,79.42
xicotepec de juarez,Typica,Washed / Wet,79.42
pereira,Caturra,Washed / Wet,79.33
zentla,Typica,Washed / Wet,79.33
zentla,Typica,Washed / Wet,79.33
oriente,Bourbon,Washed / Wet,79.33
natou county,Typica,Washed / Wet,79.25
veracruz,Bourbon,Washed / Wet,79.25
santa rosa,Bourbon,Washed / Wet,79.17
ocotepeque,Catuai,Washed / Wet,79.17
occidente,Bourbon,Washed / Wet,79.17
nuevo oriente,Catuai,Washed / Wet,79.17
san rafael,Catuai,Washed / Wet,79.17
zaragoza itundujia,Typica,Washed / Wet,79.17
yajalon,Typica,Washed / Wet,79.17
san marcos,Bourbon,Washed / Wet,79.08
yauco region,Other,Washed / Wet,79.08
zaragoza itundujia,Typica,Washed / Wet,79.08
tlacuilotepec,Mundo Novo,Washed / Wet,79.08
talpa de allende,Typica,Washed / Wet,79.08
oriente,Other,Washed / Wet,79
intibuca,Pacas,Washed / Wet,79
san ignacio,Typica,Washed / Wet,79
"iliatenco, guerrero",Mundo Novo,Natural / Dry,79
zaragoza itundujia,Typica,Semi-washed / Semi-pulped,79
amatenango de la frontera,Typica,Washed / Wet,79
"la concordia, chiapas",Typica,Washed / Wet,78.92
zaragoza itundujia,Typica,Washed / Wet,78.92
jalapa,Caturra,Other,78.83
oriente,Bourbon,Washed / Wet,78.75
veracruz,Typica,Washed / Wet,78.75
veracruz,Typica,Semi-washed / Semi-pulped,78.75
"ohuapan, tlaltetela",Bourbon,Washed / Wet,78.75
yunnan,Typica,Washed / Wet,78.67
yecuatla,Caturra,Washed / Wet,78.67
oriente,Other,Washed / Wet,78.58
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,78.58
tapachula,Typica,Washed / Wet,78.58
cofradia de suchitlan,Typica,Washed / Wet,78.58
"sierra, chiapas",Bourbon,Washed / Wet,78.5
villa talea de castro,Typica,Washed / Wet,78.5
los angeles,Caturra,Washed / Wet,78.5
monte carmelo,Catuai,Natural / Dry,78.42
zaragoza itundujia,Typica,Washed / Wet,78.42
kona,Hawaiian Kona,Natural / Dry,78.33
oriente,Other,Washed / Wet,78.33
oriente,Bourbon,Washed / Wet,78.33
"xochitonalco, huautla        ",Typica,Natural / Dry,78.33
oriente,Bourbon,Washed / Wet,78.33
kona,Hawaiian Kona,Natural / Dry,78.25
kona,Hawaiian Kona,Natural / Dry,78.25
ijen,Java,Washed / Wet,78.17
cordoba,Typica,Washed / Wet,78.08
"å°å—å¸‚æ±å±±å€( dongshan dist., tainan city)",Yellow Bourbon,Washed / Wet,78
intibuca,Pacas,Natural / Dry,78
kona,Hawaiian Kona,Natural / Dry,78
oriente,Other,Washed / Wet,78
yunnan,Typica,Washed / Wet,78
oriente,Bourbon,Washed / Wet,78
"motozintla, chiapas",Other,Washed / Wet,78
occidental,Caturra,Washed / Wet,77.92
petatlan,Typica,Washed / Wet,77.92
oriente,Bourbon,Washed / Wet,77.92
oriente,Bourbon,Washed / Wet,77.83
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,77.67
coatepec,Typica,Washed / Wet,77.5
oriente,Bourbon,Washed / Wet,77.42
south of minas,Bourbon,Natural / Dry,77.33
oriente,Other,Washed / Wet,77.33
zaragoza itundujia,Typica,Washed / Wet,77.33
"dondon, haiti",Typica,Washed / Wet,77.25
"motozintla, chiapas",Other,Washed / Wet,77.17
san ignacio,Caturra,Washed / Wet,77
oriente,Bourbon,Washed / Wet,76.5
coatepec,Typica,Washed / Wet,76.42
oriente,Bourbon,Washed / Wet,76.33
oriente,Bourbon,Washed / Wet,76.33
kona,Hawaiian Kona,Natural / Dry,76.25
zaragoza itundujia,Typica,Washed / Wet,76.17
indonesia,Other,Natural / Dry,76.17
tepictla,Bourbon,Washed / Wet,76.08
intibuca,Pacas,Natural / Dry,76
oriente,Bourbon,Washed / Wet,75.58
oriente,Bourbon,Washed / Wet,75.58
tlacuilotepec,Pacamara,Washed / Wet,75.5
ocosingo,Mundo Novo,Washed / Wet,75.17
huautla de jimenez,Typica,Washed / Wet,75.17
menglian,Typica,Washed / Wet,75
zaragoza itundujia,Typica,Washed / Wet,74.92
coatepec,Typica,Washed / Wet,74.83
oriente,Bourbon,Washed / Wet,74.75
oriente,Bourbon,Washed / Wet,74.75
chiapas,Typica,Washed / Wet,74.67
kona,Hawaiian Kona,Natural / Dry,74.42
oriente,Bourbon,Washed / Wet,74.33
"chocaman, veracruz",Typica,Washed / Wet,74.33
xalapa,Typica,Washed / Wet,74
coatepec,Typica,Washed / Wet,73.83
kona,Hawaiian Kona,Natural / Dry,73.67
intibuca,Pacas,Washed / Wet,73.42
sierra alta mixe y zapoteca,Typica,Washed / Wet,72.92
kona,Hawaiian Kona,Natural / Dry,72.58
occidental,Caturra,Washed / Wet,71.75
tlatlauquitepec,Mundo Novo,Washed / Wet,71.08
veracruz,Bourbon,Washed / Wet,71
"sierra norte yajalon, chiapas",Typica,Washed / Wet,70.75
marcala,Catuai,Washed / Wet,69.33
marcala,Catuai,Washed / Wet,69.17
marcala,Catuai,Washed / Wet,69.17
juchique de ferrer,Bourbon,Washed / Wet,68.33
"department d'artibonite , haiti",Typica,Natural / Dry,67.92
jalapa,Caturra,Other,63.08
nuevo oriente,Catuai,Washed / Wet,59.83
chikmagalur karnataka,Other,Washed / Wet,82.5
chikmagalur karnataka,Other,Natural / Dry,81.58
chikmagalur,Arusha,Natural / Dry,79.33
