region,variety,method,score
nariÃ±o,Caturra,Natural / Dry,84.25
antigua,Caturra,Washed / Wet,84.25
huehuetenango,Caturra,Washed / Wet,84.25
yunnan,Catimor,Natural / Dry,84.25
huila,Caturra,Washed / Wet,84.25
huila,Caturra,Washed / Wet,84.25
cauca,Other,Washed / Wet,84.25
huila,Caturra,Natural / Dry,84.25
shizingo village,Other,Washed / Wet,84.25
mbeya,Other,Washed / Wet,84.25
oriente,Bourbon,Other,84.25
cauca,Caturra,Washed / Wet,84.25
kona,Hawaiian Kona,Natural / Dry,84.25
san pedro cotzilnam,Typica,Semi-washed / Semi-pulped,84.25
veracruz,Bourbon,Washed / Wet,84.25
"la concordia, chiapas",Bourbon,Washed / Wet,84.25
kasese,Other,Natural / Dry,84.25
san marcos,Bourbon,Washed / Wet,84.17
huila,Caturra,Washed / Wet,84.17
tarrazu,Caturra,Washed / Wet,84.17
huehuetenango,Caturra,Washed / Wet,84.17
solola,Caturra,Washed / Wet,84.17
norte,Bourbon,Washed / Wet,84.17
huila,Caturra,Washed / Wet,84.17
jinotega,Caturra,Natural / Dry,84.17
cerrado,Catuai,Natural / Dry,84.17
tarrazu,Caturra,Washed / Wet,84.17
snnprg; kafa; telo woreda; shada kebele,Gesha,Natural / Dry,84.17
arusha,Other,Washed / Wet,84.17
huila,Other,Washed / Wet,84.17
kenya,SL28,Washed / Wet,84.17
"minas gerais, br",Mundo Novo,Natural / Dry,84.17
oriente,Bourbon,Washed / Wet,84.17
apaneca,Bourbon,Natural / Dry,84.17
huila,Caturra,Washed / Wet,84.17
guatemala,Catuai,Natural / Dry,84.17
mt. rwenzori,Other,Washed / Wet,84.17
aceh tengah,Mandheling,Natural / Dry,84.13
huila,Caturra,Washed / Wet,84.08
"nanxi dist., tainan city è‡ºå—å¸‚æ¥ è¥¿å€",Typica,Washed / Wet,84.08
oriente,Bourbon,Washed / Wet,84.08
huila,Caturra,Washed / Wet,84.08
"aldea xeucalvitz, ixil region, quiche department",Bourbon,Washed / Wet,84.08
kona,Hawaiian Kona,Natural / Dry,84.08
santo domingo cacalotepec,Typica,Washed / Wet,84.08
"ethiopia, sidamo",Other,Natural / Dry,84.08
sidamo,Gesha,Natural / Dry,84
comayagua,Caturra,Washed / Wet,84
huehuetenango,Caturra,Washed / Wet,84
huila,Other,Washed / Wet,84
oriente,Bourbon,Natural / Dry,84
oriente,Bourbon,Other,84
santander,Caturra,Natural / Dry,84
huila,Caturra,Washed / Wet,84
sidamo,Other,Natural / Dry,84
south of minas,Yellow Bourbon,Natural / Dry,84
cauca,Caturra,Washed / Wet,84
blend,SL34,Washed / Wet,84
thailand,Other,Washed / Wet,84
central kenya,SL28,Washed / Wet,84
kasese,Other,Washed / Wet,84
south of minas,Bourbon,Natural / Dry,83.92
veracruz,Mundo Novo,Washed / Wet,83.92
chiangrai,Catimor,Natural / Dry,83.92
south of minas,Bourbon,Natural / Dry,83.92
"leye, alishan township, chiayi county å˜‰ç¾©é˜¿é‡Œå±±æ¨‚é‡Žæ‘",Typica,Washed / Wet,83.92
huila,Caturra,Washed / Wet,83.92
å°ä¸­å’Œå¹³å€,Typica,Washed / Wet,83.92
santander,Caturra,Natural / Dry,83.92
xicotepec de juarez,Typica,Washed / Wet,83.92
la concordia,Typica,Washed / Wet,83.92
la yerbabuena,Typica,Washed / Wet,83.92
nariÃ±o,Caturra,Washed / Wet,83.83
tarrazu,Caturra,Washed / Wet,83.83
antigua,Bourbon,Washed / Wet,83.83
south of minas,Yellow Bourbon,Natural / Dry,83.83
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Washed / Wet,83.83
south of minas,Bourbon,Semi-washed / Semi-pulped,83.83
central valley,Catuai,Washed / Wet,83.83
oriente,Bourbon,Washed / Wet,83.83
south of minas,Yellow Bourbon,Natural / Dry,83.83
huila,Caturra,Washed / Wet,83.83
oriente,Bourbon,Washed / Wet,83.83
petatlan,Bourbon,Natural / Dry,83.83
"la concordia, chiapas",Pacas,Natural / Dry,83.83
carmo de minas,Yellow Bourbon,Semi-washed / Semi-pulped,83.83
nyeri,SL28,Washed / Wet,83.75
south of minas,Bourbon,Natural / Dry,83.75
huila,Caturra,Washed / Wet,83.75
"å°å—å¸‚æ±å±±å€ (dongshan dist., tainan city)",Typica,Natural / Dry,83.75
yunnan,Catimor,Washed / Wet,83.75
huila,Caturra,Natural / Dry,83.75
